# BEGIN VELOCITY DATASET
#BLOCK HEADER time:0
#x	y	u	v

1.55	0.45	-0.00229018	0.000267535
1.65	0.45	-0.00235421	0.00021027
1.75	0.45	-0.00240462	0.000163943
1.85	0.45	-0.00244413	0.000114903
1.95	0.45	-0.00246184	6.4522e-05
2.05	0.45	-0.00246729	7.34627e-06
2.15	0.45	-0.00245912	-3.76254e-05
2.25	0.45	-0.00243596	-8.94368e-05
2.35	0.45	-0.00239917	-0.000133023
2.45	0.45	-0.00235149	-0.000180736
2.55	0.45	-0.00229291	-0.000224322
2.65	0.45	-0.00220707	-0.000269294
2.75	0.45	-0.00211988	-0.000310168
2.85	0.45	-0.00202588	-0.000350997
2.95	0.45	-0.00191552	-0.000391871
3.05	0.45	-0.00178746	-0.000427291
3.15	0.45	-0.00164849	-0.000466809
3.25	0.45	-0.00151089	-0.00049679
3.35	0.45	-0.00135694	-0.0005254
3.45	0.45	-0.00119209	-0.000551283
3.55	0.45	-0.00102452	-0.000570372
3.65	0.45	-0.000847408	-0.000586674
3.75	0.45	-0.000667572	-0.000590786
3.85	0.45	-0.000483649	-0.000601664
3.95	0.45	-0.000302451	-0.000600308
4.05	0.45	-0.00012534	-0.000585347
4.15	0.45	4.90463e-05	-0.000569001
4.25	0.45	0.000219345	-0.000551268
4.35	0.45	0.000384195	-0.000522688
4.45	0.45	0.000539508	-0.000487238
4.55	0.45	0.000682558	-0.000457272
4.65	0.45	0.00081471	-0.000417754
4.75	0.45	0.000934601	-0.000372812
4.85	0.45	0.00104223	-0.000330538
4.95	0.45	0.00113487	-0.000278786
5.05	0.45	0.00120844	-0.000236601
5.15	0.45	0.00127656	-0.00018616
5.25	0.45	0.00132425	-0.000138462
5.35	0.45	0.00135694	-9.48906e-05
5.45	0.45	0.00138555	-5.13045e-05
5.55	0.45	0.00139645	-1.17719e-05
5.65	0.45	0.00139373	3.0458e-05
5.75	0.45	0.00138283	6.99908e-05
5.85	0.45	0.0013583	0.000106752
5.95	0.45	0.00132561	0.000139445
6.05	0.45	0.00128065	0.000178963
6.15	0.45	0.00122615	0.000208929
6.25	0.45	0.00116893	0.000234827
6.35	0.45	0.00109673	0.000270233
6.45	0.45	0.00102043	0.000290677
6.55	0.45	0.000937326	0.000317916
6.65	0.45	0.000837871	0.000342429
6.75	0.45	0.000741141	0.000361502
6.85	0.45	0.000638962	0.000375152
6.95	0.45	0.000524521	0.000391498
7.05	0.45	0.000408718	0.00040786
7.15	0.45	0.000292914	0.000420108
7.25	0.45	0.000174386	0.000422835
7.35	0.45	5.58581e-05	0.000425562
7.45	0.45	0	0
0.05	0.55	0	0
0.15	0.55	-9.80922e-05	0.00092423
0.25	0.55	-0.000305176	0.000922844
0.35	0.55	-0.000521796	0.0009038
0.45	0.55	-0.000724792	0.000887439
0.55	0.55	-0.000925064	0.00086154
0.65	0.55	-0.00112261	0.000828817
0.75	0.55	-0.00130381	0.000790656
0.85	0.55	-0.00147819	0.000744373
0.95	0.55	-0.00164849	0.000699401
1.05	0.55	-0.00179699	0.000646263
1.15	0.55	-0.00193596	0.000589043
1.25	0.55	-0.00206402	0.000530437
1.35	0.55	-0.00216757	0.000466421
1.45	0.55	-0.00226702	0.000403732
1.55	0.55	-0.00235285	0.000341117
1.65	0.55	-0.00241688	0.000272959
1.75	0.55	-0.00246184	0.000207543
1.85	0.55	-0.00249726	0.000135332
1.95	0.55	-0.00252315	7.68006e-05
2.05	0.55	-0.00252315	1.00434e-05
2.15	0.55	-0.00251361	-4.98891e-05
2.25	0.55	-0.00249181	-0.000119403
2.35	0.55	-0.00245231	-0.000176624
2.45	0.55	-0.00240326	-0.000240669
2.55	0.55	-0.00233923	-0.000289708
2.65	0.55	-0.00226157	-0.000345573
2.75	0.55	-0.00217029	-0.000408232
2.85	0.55	-0.0020722	-0.000458613
2.95	0.55	-0.00195639	-0.000511736
3.05	0.55	-0.00182833	-0.000558063
3.15	0.55	-0.00169073	-0.000605777
3.25	0.55	-0.00154631	-0.000653431
3.35	0.55	-0.00138964	-0.000686124
3.45	0.55	-0.00121389	-0.000720188
3.55	0.55	-0.0010395	-0.000746086
3.65	0.55	-0.000861031	-0.000762418
3.75	0.55	-0.000679833	-0.000778794
3.85	0.55	-0.000491823	-0.000782877
3.95	0.55	-0.000294276	-0.000784218
4.05	0.55	-0.000108991	-0.000770628
4.15	0.55	6.81197e-05	-0.000752911
4.25	0.55	0.000247955	-0.000720203
4.35	0.55	0.000422342	-0.000684783
4.45	0.55	0.000576292	-0.000643909
4.55	0.55	0.000722068	-0.000597596
4.65	0.55	0.000863757	-0.000541732
4.75	0.55	0.000987734	-0.000488624
4.85	0.55	0.00109673	-0.000428647
4.95	0.55	0.00118528	-0.000367358
5.05	0.55	0.00126294	-0.000307411
5.15	0.55	0.00133106	-0.000243381
5.25	0.55	0.00137738	-0.000184804
5.35	0.55	0.0014128	-0.000124872
5.45	0.55	0.00143324	-6.49093e-05
5.55	0.55	0.00144277	-1.17719e-05
5.65	0.55	0.00143869	3.86387e-05
5.75	0.55	0.00142234	9.31323e-05
5.85	0.55	0.0014019	0.000133976
5.95	0.55	0.00136648	0.000185758
6.05	0.55	0.00132016	0.000225276
6.15	0.55	0.00126294	0.000267521
6.25	0.55	0.00120163	0.000308394
6.35	0.55	0.0011267	0.000342488
6.45	0.55	0.00104768	0.000377864
6.55	0.55	0.000964573	0.000406489
6.65	0.55	0.000863756	0.000436455
6.75	0.55	0.000760215	0.000469163
6.85	0.55	0.00065531	0.000489593
6.95	0.55	0.000546319	0.000510022
7.05	0.55	0.000427791	0.000523642
7.15	0.55	0.000301089	0.000540018
7.25	0.55	0.000174386	0.00054954
7.35	0.55	5.58581e-05	0.000548199
7.45	0.55	0	0
0.05	0.65	0	0
0.15	0.65	-0.000100817	0.00114901
0.25	0.65	-0.000317437	0.00113806
0.35	0.65	-0.00054087	0.00111766
0.45	0.65	-0.000750678	0.0010986
0.55	0.65	-0.000959124	0.00106043
0.65	0.65	-0.00116076	0.00102226
0.75	0.65	-0.00135149	0.00097324
0.85	0.65	-0.00152997	0.000918776
0.95	0.65	-0.00169754	0.000858828
1.05	0.65	-0.0018583	0.000796139
1.15	0.65	-0.00200135	0.00071846
1.25	0.65	-0.00213078	0.000651702
1.35	0.65	-0.00224522	0.000572667
1.45	0.65	-0.00233923	0.000489533
1.55	0.65	-0.00242097	0.000410572
1.65	0.65	-0.00248773	0.000332937
1.75	0.65	-0.00254222	0.000251144
1.85	0.65	-0.00257492	0.000165328
1.95	0.65	-0.00258718	8.36253e-05
2.05	0.65	-0.00259399	1.00583e-05
2.15	0.65	-0.00258854	-7.17193e-05
2.25	0.65	-0.00256266	-0.000143901
2.35	0.65	-0.00252042	-0.000224307
2.45	0.65	-0.00246457	-0.000291064
2.55	0.65	-0.00239781	-0.000367343
2.65	0.65	-0.0023256	-0.000436813
2.75	0.65	-0.00223296	-0.000500843
2.85	0.65	-0.00212942	-0.000567615
2.95	0.65	-0.00201498	-0.000630304
3.05	0.65	-0.00188146	-0.000695691
3.15	0.65	-0.00174386	-0.000748828
3.25	0.65	-0.00159127	-0.000804648
3.35	0.65	-0.0014237	-0.000848234
3.45	0.65	-0.00125204	-0.00089322
3.55	0.65	-0.00106675	-0.000930026
3.65	0.65	-0.000880105	-0.000957251
3.75	0.65	-0.000688008	-0.000973612
3.85	0.65	-0.000489098	-0.000973612
3.95	0.65	-0.000290189	-0.000972256
4.05	0.65	-9.40049e-05	-0.000960007
4.15	0.65	9.94547e-05	-0.000938207
4.25	0.65	0.000287465	-0.000898689
4.35	0.65	0.000460489	-0.000853717
4.45	0.65	0.000626701	-0.000806048
4.55	0.65	0.000784738	-0.00073655
4.65	0.65	0.000923702	-0.000672534
4.75	0.65	0.00104768	-0.000603065
4.85	0.65	0.00116348	-0.000530854
4.95	0.65	0.00125613	-0.000455916
5.05	0.65	0.00133242	-0.000375509
5.15	0.65	0.00139918	-0.000300601
5.25	0.65	0.00144277	-0.000227064
5.35	0.65	0.00147683	-0.000150725
5.45	0.65	0.00149863	-8.25969e-05
5.55	0.65	0.00149999	-1.44839e-05
5.65	0.65	0.00149863	4.81606e-05
5.75	0.65	0.0014782	0.00011082
5.85	0.65	0.00145095	0.000172138
5.95	0.65	0.00141689	0.000225276
6.05	0.65	0.00136239	0.000277057
6.15	0.65	0.00130926	0.0003234
6.25	0.65	0.00124386	0.000371084
6.35	0.65	0.00116621	0.000413328
6.45	0.65	0.00108446	0.000462323
6.55	0.65	0.000995908	0.000497758
6.65	0.65	0.000900541	0.000538617
6.75	0.65	0.000794274	0.000574067
6.85	0.65	0.000679834	0.000604004
6.95	0.65	0.000558581	0.000628546
7.05	0.65	0.00043869	0.000648961
7.15	0.65	0.0003188	0.000662595
7.25	0.65	0.00018256	0.00067623
7.35	0.65	5.44957e-05	0.000681683
7.45	0.65	0	0
0.05	0.75	0	0
0.15	0.75	-0.000108991	0.00137381
0.25	0.75	-0.000336511	0.00136152
0.35	0.75	-0.000561305	0.0013438
0.45	0.75	-0.000782013	0.00131249
0.55	0.75	-0.00100136	0.00127296
0.65	0.75	-0.0012098	0.00122389
0.75	0.75	-0.00140735	0.00116397
0.85	0.75	-0.00159264	0.00109994
0.95	0.75	-0.00177111	0.00102231
1.05	0.75	-0.00193732	0.000943288
1.15	0.75	-0.00208037	0.00086017
1.25	0.75	-0.0022098	0.000766188
1.35	0.75	-0.00232969	0.000678957
1.45	0.75	-0.00242914	0.000582218
1.55	0.75	-0.00250953	0.000482768
1.65	0.75	-0.00257628	0.00038743
1.75	0.75	-0.00262942	0.000283852
1.85	0.75	-0.00266484	0.000192612
1.95	0.75	-0.00267846	9.5889e-05
2.05	0.75	-0.00267846	1.87755e-06
2.15	0.75	-0.00266756	-9.08226e-05
2.25	0.75	-0.0026444	-0.000179321
2.35	0.75	-0.00259944	-0.000265151
2.45	0.75	-0.00254631	-0.000352383
2.55	0.75	-0.002485	-0.000439569
2.65	0.75	-0.00239508	-0.000524029
2.75	0.75	-0.00230108	-0.000601679
2.85	0.75	-0.00220162	-0.000683427
2.95	0.75	-0.00208446	-0.000755653
3.05	0.75	-0.00194686	-0.00082919
3.15	0.75	-0.00179972	-0.00090003
3.25	0.75	-0.00164577	-0.00096406
3.35	0.75	-0.00147819	-0.00102265
3.45	0.75	-0.00129563	-0.00107306
3.55	0.75	-0.00110354	-0.00111531
3.65	0.75	-0.000904628	-0.0011548
3.75	0.75	-0.000696182	-0.00117251
3.85	0.75	-0.000490461	-0.00118344
3.95	0.75	-0.000280652	-0.00117798
4.05	0.75	-7.49314e-05	-0.00116299
4.15	0.75	0.000129427	-0.00113028
4.25	0.75	0.000332424	-0.00108805
4.35	0.75	0.000514984	-0.00103222
4.45	0.75	0.000693458	-0.000965461
4.55	0.75	0.000855582	-0.000890493
4.65	0.75	0.000997271	-0.000810131
4.75	0.75	0.00112942	-0.000722945
4.85	0.75	0.00124386	-0.000633061
4.95	0.75	0.00134059	-0.000543102
5.05	0.75	0.00141825	-0.000444993
5.15	0.75	0.00147956	-0.00035508
5.25	0.75	0.00152724	-0.000265211
5.35	0.75	0.00155721	-0.000176579
5.45	0.75	0.00156948	-9.48605e-05
5.55	0.75	0.00157356	-1.58548e-05
5.65	0.75	0.00156403	6.7234e-05
5.75	0.75	0.00154631	0.000133991
5.85	0.75	0.00151634	0.000204861
5.95	0.75	0.00147138	0.000264794
6.05	0.75	0.00141825	0.000327453
6.15	0.75	0.00135694	0.000388801
6.25	0.75	0.00129155	0.000444651
6.35	0.75	0.00121798	0.000497788
6.45	0.75	0.00113215	0.000550866
6.55	0.75	0.00104087	0.000594482
6.65	0.75	0.00094005	0.00064078
6.75	0.75	0.000825609	0.000677586
6.85	0.75	0.000709806	0.000715733
6.95	0.75	0.000591278	0.0007471
7.05	0.75	0.000461851	0.000781134
7.15	0.75	0.000328336	0.000794753
7.25	0.75	0.00019346	0.000808403
7.35	0.75	6.13076e-05	0.000819266
7.45	0.75	0	0
0.05	0.85	0	0
0.15	0.85	-0.000113079	0.00160678
0.25	0.85	-0.00034741	0.0015986
0.35	0.85	-0.000589916	0.00157408
0.45	0.85	-0.000821522	0.00153726
0.55	0.85	-0.00104768	0.00148824
0.65	0.85	-0.00126975	0.00142965
0.75	0.85	-0.00147547	0.00136153
0.85	0.85	-0.00167165	0.0012825
