# BEGIN VELOCITY DATASET
#BLOCK HEADER time:0
#x	y	u	v

4.45	0.95	0.191998	0.279737
4.55	0.95	0.149611	0.289478
4.65	0.95	0.106968	0.296417
4.75	0.95	0.0642079	0.300863
4.85	0.95	0.0214058	0.303032
4.95	0.95	0	0
0.05	1.05	0	0
0.15	1.05	-0.0224951	0.346934
0.25	1.05	-0.0675373	0.344807
0.35	1.05	-0.112719	0.340414
0.45	1.05	-0.158079	0.333485
0.55	1.05	-0.203583	0.323619
0.65	1.05	-0.249075	0.310305
0.75	1.05	-0.294255	0.292941
0.85	1.05	-0.338635	0.270866
0.95	1.05	-0.381514	0.243412
1.05	1.05	-0.421955	0.209967
1.15	1.05	-0.458781	0.170052
1.25	1.05	-0.490595	0.123409
1.35	1.05	-0.515833	0.0700884
1.45	1.05	-0.532836	0.0105224
1.55	1.05	-0.539952	-0.0544133
1.65	1.05	-0.535662	-0.123375
1.75	1.05	-0.518707	-0.19456
1.85	1.05	-0.488214	-0.265751
1.95	1.05	-0.443821	-0.334393
2.05	1.05	-0.385786	-0.397694
2.15	1.05	-0.315095	-0.45276
2.25	1.05	-0.233533	-0.496831
2.35	1.05	-0.143627	-0.527597
2.45	1.05	-0.0484729	-0.543418
2.55	1.05	0.0484746	-0.543418
2.65	1.05	0.143629	-0.527597
2.75	1.05	0.233534	-0.496831
2.85	1.05	0.315097	-0.45276
2.95	1.05	0.385788	-0.397693
3.05	1.05	0.443822	-0.334393
3.15	1.05	0.488215	-0.265751
3.25	1.05	0.518708	-0.194559
3.35	1.05	0.535663	-0.123374
3.45	1.05	0.539952	-0.054412
3.55	1.05	0.532836	0.0105231
3.65	1.05	0.515833	0.0700893
3.75	1.05	0.490595	0.123411
3.85	1.05	0.458781	0.170053
3.95	1.05	0.421955	0.209967
4.05	1.05	0.381514	0.243412
4.15	1.05	0.338634	0.270866
4.25	1.05	0.294254	0.292941
4.35	1.05	0.249075	0.310306
4.45	1.05	0.203582	0.323619
4.55	1.05	0.15808	0.333485
4.65	1.05	0.112718	0.340414
4.75	1.05	0.0675371	0.344807
4.85	1.05	0.0224953	0.346934
4.95	1.05	0	0
0.05	1.15	0	0
0.15	1.15	-0.023533	0.392963
0.25	1.15	-0.0707275	0.391015
0.35	1.15	-0.11829	0.386949
0.45	1.15	-0.166407	0.380428
0.55	1.15	-0.215178	0.37095
0.65	1.15	-0.26457	0.35786
0.75	1.15	-0.314374	0.34037
0.85	1.15	-0.36415	0.317593
0.95	1.15	-0.413183	0.288596
1.05	1.15	-0.460443	0.252482
1.15	1.15	-0.504565	0.208485
1.25	1.15	-0.543865	0.156094
1.35	1.15	-0.576395	0.0951717
1.45	1.15	-0.600029	0.0260744
1.55	1.15	-0.612603	-0.0502751
1.65	1.15	-0.612069	-0.132336
1.75	1.15	-0.596664	-0.217959
1.85	1.15	-0.56508	-0.30443
1.95	1.15	-0.516613	-0.388574
2.05	1.15	-0.451298	-0.466861
2.15	1.15	-0.3701	-0.535481
2.25	1.15	-0.275122	-0.590651
2.35	1.15	-0.169545	-0.629259
2.45	1.15	-0.0572809	-0.649174
2.55	1.15	0.057282	-0.649174
2.65	1.15	0.169546	-0.62926
2.75	1.15	0.275124	-0.590651
2.85	1.15	0.370102	-0.535481
2.95	1.15	0.4513	-0.466861
3.05	1.15	0.516614	-0.388574
3.15	1.15	0.565081	-0.304429
3.25	1.15	0.596665	-0.217958
3.35	1.15	0.612069	-0.132335
3.45	1.15	0.612604	-0.0502737
3.55	1.15	0.600029	0.0260755
3.65	1.15	0.576395	0.0951733
3.75	1.15	0.543866	0.156094
3.85	1.15	0.504564	0.208486
3.95	1.15	0.460442	0.252482
4.05	1.15	0.413183	0.288597
4.15	1.15	0.36415	0.317593
4.25	1.15	0.314374	0.340371
4.35	1.15	0.26457	0.35786
4.45	1.15	0.215177	0.37095
4.55	1.15	0.166406	0.380428
4.65	1.15	0.11829	0.386949
4.75	1.15	0.0707275	0.391016
4.85	1.15	0.023533	0.392963
4.95	1.15	0	0
0.05	1.25	0	0
0.15	1.25	-0.0244432	0.440941
0.25	1.25	-0.0735513	0.439341
0.35	1.25	-0.123306	0.435939
0.45	1.25	-0.174079	0.430327
0.55	1.25	-0.22615	0.421892
0.65	1.25	-0.279655	0.409815
0.75	1.25	-0.334521	0.393087
0.85	1.25	-0.390409	0.370539
0.95	1.25	-0.446625	0.340899
1.05	1.25	-0.502066	0.302879
1.15	1.25	-0.555169	0.255312
1.25	1.25	-0.603908	0.197307
1.35	1.25	-0.645852	0.128432
1.45	1.25	-0.678282	0.048878
1.55	1.25	-0.698362	-0.0404243
1.65	1.25	-0.703346	-0.137737
1.75	1.25	-0.6908	-0.240509
1.85	1.25	-0.658829	-0.345435
1.95	1.25	-0.606252	-0.448614
2.05	1.25	-0.532694	-0.545695
2.15	1.25	-0.438885	-0.631654
2.25	1.25	-0.327311	-0.701031
2.35	1.25	-0.20215	-0.749617
2.45	1.25	-0.0683874	-0.774843
2.55	1.25	0.068389	-0.774843
2.65	1.25	0.202152	-0.749617
2.75	1.25	0.327312	-0.701031
2.85	1.25	0.438887	-0.631653
2.95	1.25	0.532695	-0.545694
3.05	1.25	0.606253	-0.448613
3.15	1.25	0.658831	-0.345434
3.25	1.25	0.690802	-0.240508
3.35	1.25	0.703347	-0.137736
3.45	1.25	0.698363	-0.0404229
3.55	1.25	0.678283	0.0488793
3.65	1.25	0.645852	0.128433
3.75	1.25	0.603908	0.197308
3.85	1.25	0.555169	0.255312
3.95	1.25	0.502066	0.30288
4.05	1.25	0.446625	0.3409
4.15	1.25	0.390408	0.37054
4.25	1.25	0.334521	0.393087
4.35	1.25	0.279654	0.409814
4.45	1.25	0.22615	0.421892
4.55	1.25	0.174079	0.430328
4.65	1.25	0.123306	0.435939
4.75	1.25	0.0735509	0.439341
4.85	1.25	0.0244428	0.440941
4.95	1.25	0	0
0.05	1.35	0	0
0.15	1.35	-0.0251326	0.490517
0.25	1.35	-0.0757289	0.48947
0.35	1.35	-0.127304	0.48714
0.45	1.35	-0.180454	0.483051
0.55	1.35	-0.23569	0.476475
0.65	1.35	-0.293375	0.466419
0.75	1.35	-0.353649	0.451624
0.85	1.35	-0.416338	0.43058
0.95	1.35	-0.480844	0.401581
1.05	1.35	-0.54603	0.362824
1.15	1.35	-0.610137	0.312576
1.25	1.35	-0.670744	0.24939
1.35	1.35	-0.724823	0.172373
1.45	1.35	-0.768886	0.0814295
1.55	1.35	-0.799218	-0.0225636
1.65	1.35	-0.812153	-0.137677
1.75	1.35	-0.804362	-0.260906
1.85	1.35	-0.773185	-0.388187
1.95	1.35	-0.716872	-0.514751
2.05	1.35	-0.634338	-0.63565
2.15	1.35	-0.525437	-0.744408
2.25	1.35	-0.393085	-0.832203
2.35	1.35	-0.243357	-0.893335
2.45	1.35	-0.0825065	-0.925738
2.55	1.35	0.0825083	-0.925738
2.65	1.35	0.243358	-0.893334
2.75	1.35	0.393087	-0.832203
2.85	1.35	0.525438	-0.744408
2.95	1.35	0.63434	-0.635651
3.05	1.35	0.716875	-0.51475
3.15	1.35	0.773186	-0.388186
3.25	1.35	0.804364	-0.260904
3.35	1.35	0.812155	-0.137676
3.45	1.35	0.799218	-0.0225622
3.55	1.35	0.768886	0.081431
3.65	1.35	0.724824	0.172374
3.75	1.35	0.670744	0.249391
3.85	1.35	0.610136	0.312576
3.95	1.35	0.546029	0.362825
4.05	1.35	0.480843	0.401581
4.15	1.35	0.416338	0.43058
4.25	1.35	0.353648	0.451624
4.35	1.35	0.293375	0.466419
4.45	1.35	0.23569	0.476475
4.55	1.35	0.180453	0.483052
4.65	1.35	0.127303	0.48714
4.75	1.35	0.0757293	0.48947
4.85	1.35	0.0251329	0.490518
4.95	1.35	0	0
0.05	1.45	0	0
0.15	1.45	-0.0254908	0.541142
0.25	1.45	-0.0769291	0.540881
0.35	1.45	-0.129725	0.540098
0.45	1.45	-0.184743	0.538263
0.55	1.45	-0.242782	0.534539
0.65	1.45	-0.304506	0.527763
0.75	1.45	-0.370361	0.516408
0.85	1.45	-0.440452	0.498575
0.95	1.45	-0.514381	0.47202
1.05	1.45	-0.591072	0.434262
1.15	1.45	-0.668604	0.382776
1.25	1.45	-0.74411	0.315304
1.35	1.45	-0.813812	0.23024
1.45	1.45	-0.873219	0.12703
1.55	1.45	-0.917469	0.00641745
1.65	1.45	-0.941688	-0.129504
1.75	1.45	-0.94131	-0.27725
1.85	1.45	-0.912674	-0.431657
1.95	1.45	-0.853715	-0.586551
2.05	1.45	-0.762351	-0.737748
2.15	1.45	-0.635438	-0.878124
2.25	1.45	-0.476238	-0.990038
2.35	1.45	-0.295685	-1.06578
2.45	1.45	-0.100791	-1.10904
2.55	1.45	0.100793	-1.10904
2.65	1.45	0.295687	-1.06578
2.75	1.45	0.476238	-0.990038
2.85	1.45	0.635439	-0.878126
2.95	1.45	0.762353	-0.737749
3.05	1.45	0.853719	-0.586551
3.15	1.45	0.912676	-0.431655
3.25	1.45	0.941311	-0.277247
3.35	1.45	0.941689	-0.129502
3.45	1.45	0.91747	0.00641965
3.55	1.45	0.873219	0.127032
3.65	1.45	0.813812	0.230242
3.75	1.45	0.74411	0.315304
3.85	1.45	0.668603	0.382778
3.95	1.45	0.591071	0.434263
4.05	1.45	0.51438	0.472021
