#BLOCK HEADER time:0
#x	y	initial_phi	radius

#BLOCK HEADER time:0.5
#x	y	initial_phi	radius

#BLOCK HEADER time:1
#x	y	initial_phi	radius

#BLOCK HEADER time:1.5
#x	y	initial_phi	radius

#BLOCK HEADER time:0
#x	y	initial_phi	radius

0.634979	1.01686	-0.0995025	0.05
0.608244	1.0902	-0.0999493	0.05
0.601233	1.11522	-0.099937	0.05
0.613876	1.0828	-0.0941973	0.05
0.629324	1.05536	-0.0849763	0.05
0.669306	0.958254	-0.0880443	0.05
0.664083	1.00977	-0.0649011	0.05
0.703641	0.939499	-0.0533076	0.05
0.661093	1.02629	-0.0610348	0.05
0.695745	0.987343	-0.0408209	0.0471997
0.661238	1.03269	-0.0575477	0.05
0.660238	1.03339	-0.0581559	0.05
0.699739	0.930979	-0.0730295	0.05
0.650786	0.978373	-0.0995486	0.05
0.663477	0.956775	-0.0995639	0.05
0.655827	0.970759	-0.097729	0.05
0.664813	1.02198	-0.0592059	0.05
0.724578	0.936401	-0.0285459	0.049136
0.646086	1.02012	-0.0821303	0.05
0.714604	0.929045	-0.0508582	0.05
0.756673	0.920301	-0.00995042	0.0288708
0.806064	0.875036	-0.0104574	0.0246289
0.822383	0.882348	0.00999874	0.0110744
0.904376	0.843882	0.00977588	0.01
0.875719	0.867533	0.0347169	0.01
0.806522	0.853294	-0.0336517	0.0383574
0.76673	0.910441	-0.00994608	0.0270942
0.906369	0.850268	0.0201077	0.01
0.957283	0.854424	0.0322085	0.0328015
0.794348	0.910415	0.00998463	0.01
0.928098	0.849752	0.022461	0.0153277
0.818256	0.857802	-0.0175224	0.0300681
0.800995	0.860338	-0.0316558	0.0364202
0.913004	0.844073	0.0114412	0.01
0.866321	0.87423	0.0349262	0.01
0.85354	0.874974	0.0268581	0.01
0.887871	0.869745	0.0441712	0.0129855
0.979343	0.820696	-0.0123561	0.01
1.05241	0.789422	0.00995725	0.01
1.09582	0.820731	0.0610832	0.05
0.978713	0.821889	-0.0113198	0.010345
1.04948	0.797043	0.0128053	0.0137426
1.02076	0.829367	0.0137628	0.0331321
1.03451	0.817388	0.0152352	0.0270982
1.05385	0.78788	0.00995256	0.01
1.03612	0.806569	0.00986805	0.0175968
0.997891	0.803947	-0.017058	0.01
0.923929	0.829897	-0.00965426	0.01
0.982263	0.815157	-0.0168951	0.01
1.0455	0.848519	0.0471215	0.05
1.00167	0.851541	0.0304407	0.0467379
0.972911	0.852996	0.0309303	0.0373333
1.06205	0.794337	0.0195567	0.0153538
1.09281	0.805355	0.0496395	0.035379
1.08131	0.793752	0.0337872	0.0211202
1.16649	0.817352	0.0760319	0.05
1.09681	0.7879	0.0417714	0.020918
1.08762	0.773367	0.023048	0.01
1.09999	0.79656	0.0501345	0.0297629
1.11905	0.816659	0.0762457	0.05
1.12446	0.790325	0.0537847	0.0322241
1.17571	0.822941	0.0788852	0.05
1.18448	0.840607	0.0956225	0.05
1.1503	0.767475	0.0137422	0.020844
1.04059	0.772749	-0.00998029	0.0122971
1.14675	0.812266	0.0778564	0.05
1.12722	0.785996	0.0499178	0.0293174
1.17447	0.806523	0.0592238	0.05
1.09601	0.763172	0.0148422	0.01
1.28851	0.780593	0.0351605	0.0407572
1.2805	0.791465	0.0433292	0.048639
1.27871	0.810475	0.063496	0.05
1.27212	0.772751	0.0170397	0.0280502
1.19688	0.776614	0.0095105	0.0268831
1.28662	0.778307	0.0314754	0.0379425
1.22583	0.79851	0.0302141	0.0457214
1.2515	0.778317	0.012402	0.0268005
1.20405	0.823489	0.0677398	0.05
1.19771	0.800883	0.0418377	0.0485938
1.27625	0.800704	0.0513766	0.05
1.18987	0.779635	0.0164413	0.0298571
1.23788	0.816309	0.0536006	0.05
1.23689	0.807896	0.0434129	0.05
1.293	0.794505	0.0534421	0.05
1.29744	0.795285	0.0566303	0.05
1.32855	0.748412	0.0152063	0.0209782
1.36005	0.789168	0.0807022	0.05
1.37888	0.759039	0.0460647	0.0366838
1.40705	0.783492	0.0828346	0.05
1.3253	0.749317	0.0148635	0.0209945
1.36357	0.777632	0.0682874	0.05
1.36702	0.765642	0.0533712	0.0439982
1.39904	0.785978	0.0845292	0.05
1.30931	0.768896	0.0323979	0.035824
1.40472	0.741741	0.0216098	0.0178615
1.32336	0.747512	0.0112842	0.0185387
1.35822	0.754804	0.0348667	0.0334033
1.4206	0.758689	0.0519603	0.0342112
1.31096	0.757808	0.0192273	0.0253296
1.36429	0.762299	0.0477547	0.0407522
1.36792	0.752124	0.0336517	0.0302286
1.45853	0.803216	0.0972984	0.05
1.45663	0.793772	0.0907808	0.05
1.55067	0.800937	0.0168128	0.0192205
1.50842	0.821152	0.055604	0.05
1.48269	0.772343	0.0556365	0.0293062
1.48214	0.747277	0.0217223	0.01
1.43429	0.780316	0.0826067	0.05
1.43731	0.779137	0.0815975	0.05
1.53272	0.792246	0.0276819	0.0213848
1.54796	0.786279	0.0135699	0.01
1.47326	0.822175	0.0944109	0.05
1.49576	0.826403	0.0715138	0.05
1.49511	0.790052	0.0591563	0.0388208
1.47969	0.818358	0.0855517	0.05
1.53782	0.791597	0.0236799	0.0182164
1.46374	0.787919	0.0817578	0.05
1.59482	0.892148	0.0238224	0.0469406
1.59877	0.873611	0.00991178	0.0374044
1.52589	0.835547	0.0481724	0.05
1.58271	0.845493	0.00999796	0.0352423
1.64253	0.887332	-0.0182539	0.0139101
1.65916	0.909159	-0.00988282	0.0102991
1.53947	0.834503	0.037342	0.05
1.54099	0.848539	0.0460416	0.05
1.59698	0.870269	0.00986319	0.0373145
1.57955	0.840897	0.0103008	0.0335131
1.60973	0.895087	0.0123498	0.0382606
1.60034	0.815693	-0.0099932	0.01
1.58796	0.893029	0.0309647	0.05
1.51083	0.836269	0.0606797	0.05
1.56374	0.808869	0.00997002	0.017374
1.61038	0.901747	0.0165268	0.0403164
1.71964	0.921488	-0.0389043	0.0279452
1.73192	0.961262	-0.0217163	0.0180681
1.79126	0.957777	-0.0649671	0.05
1.71445	0.98284	-0.0163067	0.01
1.8405	1.02131	-0.0778548	0.05
1.7349	0.968031	-0.0230621	0.0171761
1.80066	1.02873	-0.05054	0.0457156
1.63474	0.91349	0.0103217	0.028619
1.7176	0.925421	-0.0310595	0.0246422
1.80054	0.996554	-0.0550173	0.05
1.83858	0.986875	-0.0926934	0.05
1.79759	0.962676	-0.0667895	0.05
1.76429	0.946235	-0.0497829	0.0489127
1.74976	0.945064	-0.038708	0.0369785
1.64299	0.917984	0.00953602	0.0248188
1.72707	0.94211	-0.0240112	0.0231724
1.83759	1.08029	-0.0562417	0.05
1.86509	1.10204	-0.0756883	0.05
1.85515	1.11637	-0.0630108	0.05
1.89703	1.12496	-0.100341	0.05
1.86807	1.03824	-0.100538	0.05
1.86889	1.05619	-0.0932386	0.05
1.89979	1.1392	-0.0999768	0.05
1.84758	1.04105	-0.0779242	0.05
1.84374	0.985686	-0.100268	0.05
1.88335	1.07786	-0.100019	0.05
1.89475	1.11654	-0.100646	0.05
1.86557	1.03415	-0.0996576	0.05
1.88549	1.16255	-0.0832592	0.05
1.88132	1.11023	-0.0889355	0.05
1.87618	1.05735	-0.100277	0.05
1.89485	1.11683	-0.100662	0.05
1.91239	1.18003	-0.104173	0.05
1.89794	1.12532	-0.101124	0.05
1.90519	1.15251	-0.102153	0.05
