# CLEAR
#BLOCK HEADER time:0
#x	y	id	phi

2.95	3.55	-0.0215268	0
3.05	3.55	-0.0129346	0
3.15	3.55	-0.00301825	0
2.05	3.65	-0.0030182	0
2.15	3.65	-0.00958367	0
2.25	3.65	-0.0146279	0
2.35	3.65	-0.0180517	0
2.45	3.65	-0.0197827	0
2.55	3.65	-0.0197827	0
2.65	3.65	-0.0180517	0
2.75	3.65	-0.0146279	0
2.85	3.65	-0.00958367	0
2.95	3.65	-0.00301822	0
0.05	0.05	-0.492965	1
0.15	0.05	-0.47897	1
0.25	0.05	-0.465282	1
0.35	0.05	-0.45192	1
0.45	0.05	-0.438905	1
0.55	0.05	-0.426259	1
0.65	0.05	-0.414003	1
0.75	0.05	-0.402163	1
0.85	0.05	-0.390762	1
0.95	0.05	-0.379828	1
1.05	0.05	-0.369386	1
1.15	0.05	-0.359464	1
1.25	0.05	-0.350091	1
1.35	0.05	-0.341295	1
1.45	0.05	-0.333104	1
1.55	0.05	-0.325547	1
1.65	0.05	-0.318652	1
1.75	0.05	-0.312445	1
1.85	0.05	-0.306952	1
1.95	0.05	-0.302195	1
2.05	0.05	-0.298197	1
2.15	0.05	-0.294975	1
2.25	0.05	-0.292544	1
2.35	0.05	-0.290918	1
2.45	0.05	-0.290102	1
2.55	0.05	-0.290102	1
2.65	0.05	-0.290918	1
2.75	0.05	-0.292544	1
2.85	0.05	-0.294975	1
2.95	0.05	-0.298197	1
3.05	0.05	-0.302195	1
3.15	0.05	-0.306952	1
3.25	0.05	-0.312445	1
3.35	0.05	-0.318652	1
3.45	0.05	-0.325547	1
3.55	0.05	-0.333104	1
3.65	0.05	-0.341295	1
3.75	0.05	-0.350091	1
3.85	0.05	-0.359464	1
3.95	0.05	-0.369386	1
4.05	0.05	-0.379828	1
4.15	0.05	-0.390762	1
4.25	0.05	-0.402163	1
4.35	0.05	-0.414003	1
4.45	0.05	-0.426259	1
4.55	0.05	-0.438905	1
4.65	0.05	-0.45192	1
4.75	0.05	-0.465282	1
4.85	0.05	-0.47897	1
4.95	0.05	-0.492965	1
0.05	0.15	-0.47897	1
0.15	0.15	-0.46468	1
0.25	0.15	-0.450692	1
0.35	0.15	-0.437024	1
0.45	0.15	-0.423699	1
0.55	0.15	-0.410737	1
0.65	0.15	-0.398164	1
0.75	0.15	-0.386003	1
0.85	0.15	-0.374282	1
0.95	0.15	-0.363028	1
1.05	0.15	-0.352268	1
1.15	0.15	-0.342033	1
1.25	0.15	-0.332353	1
1.35	0.15	-0.323259	1
1.45	0.15	-0.314782	1
1.55	0.15	-0.306952	1
1.65	0.15	-0.2998	1
1.75	0.15	-0.293356	1
1.85	0.15	-0.287647	1
1.95	0.15	-0.282701	1
2.05	0.15	-0.278539	1
2.15	0.15	-0.275184	1
2.25	0.15	-0.272652	1
2.35	0.15	-0.270956	1
2.45	0.15	-0.270106	1
2.55	0.15	-0.270106	1
2.65	0.15	-0.270956	1
2.75	0.15	-0.272652	1
2.85	0.15	-0.275184	1
2.95	0.15	-0.278539	1
3.05	0.15	-0.282701	1
3.15	0.15	-0.287647	1
3.25	0.15	-0.293356	1
3.35	0.15	-0.2998	1
3.45	0.15	-0.306952	1
3.55	0.15	-0.314781	1
3.65	0.15	-0.323259	1
3.75	0.15	-0.332353	1
3.85	0.15	-0.342033	1
3.95	0.15	-0.352268	1
4.05	0.15	-0.363028	1
4.15	0.15	-0.374282	1
4.25	0.15	-0.386003	1
4.35	0.15	-0.398164	1
4.45	0.15	-0.410737	1
4.55	0.15	-0.423699	1
4.65	0.15	-0.437024	1
4.75	0.15	-0.450692	1
4.85	0.15	-0.46468	1
4.95	0.15	-0.47897	1
0.05	0.25	-0.465282	1
0.15	0.25	-0.450692	1
0.25	0.25	-0.436396	1
0.35	0.25	-0.422415	1
0.45	0.25	-0.408769	1
0.55	0.25	-0.395483	1
0.65	0.25	-0.38258	1
0.75	0.25	-0.370088	1
0.85	0.25	-0.358032	1
0.95	0.25	-0.346443	1
1.05	0.25	-0.33535	1
1.15	0.25	-0.324786	1
1.25	0.25	-0.314781	1
1.35	0.25	-0.305371	1
1.45	0.25	-0.296588	1
1.55	0.25	-0.288467	1
1.65	0.25	-0.28104	1
1.75	0.25	-0.274342	1
1.85	0.25	-0.268402	1
1.95	0.25	-0.263249	1
2.05	0.25	-0.258912	1
2.15	0.25	-0.255412	1
2.25	0.25	-0.252769	1
2.35	0.25	-0.250999	1
2.45	0.25	-0.250111	1
2.55	0.25	-0.250111	1
2.65	0.25	-0.250999	1
2.75	0.25	-0.252769	1
2.85	0.25	-0.255412	1
2.95	0.25	-0.258912	1
3.05	0.25	-0.263249	1
3.15	0.25	-0.268402	1
3.25	0.25	-0.274342	1
3.35	0.25	-0.28104	1
3.45	0.25	-0.288467	1
3.55	0.25	-0.296588	1
3.65	0.25	-0.305371	1
3.75	0.25	-0.314781	1
3.85	0.25	-0.324786	1
3.95	0.25	-0.33535	1
4.05	0.25	-0.346443	1
4.15	0.25	-0.358032	1
4.25	0.25	-0.370088	1
4.35	0.25	-0.38258	1
4.45	0.25	-0.395483	1
4.55	0.25	-0.408769	1
4.65	0.25	-0.422415	1
4.75	0.25	-0.436396	1
4.85	0.25	-0.450692	1
4.95	0.25	-0.465282	1
0.05	0.35	-0.45192	1
0.15	0.35	-0.437024	1
0.25	0.35	-0.422415	1
0.35	0.35	-0.408112	1
0.45	0.35	-0.394138	1
0.55	0.35	-0.380517	1
0.65	0.35	-0.367274	1
0.75	0.35	-0.354437	1
0.85	0.35	-0.342033	1
0.95	0.35	-0.330094	1
1.05	0.35	-0.318652	1
1.15	0.35	-0.30774	1
1.25	0.35	-0.297393	1
1.35	0.35	-0.287647	1
1.45	0.35	-0.278539	1
1.55	0.35	-0.270106	1
1.65	0.35	-0.262385	1
1.75	0.35	-0.255412	1
1.85	0.35	-0.249222	1
1.95	0.35	-0.243847	1
2.05	0.35	-0.239318	1
2.15	0.35	-0.23566	1
2.25	0.35	-0.232897	1
2.35	0.35	-0.231045	1
2.45	0.35	-0.230116	1
2.55	0.35	-0.230116	1
2.65	0.35	-0.231045	1
2.75	0.35	-0.232897	1
